,Region,LGA,Quater,Count,Median
0,Barwon South West,Colac-Otway,Dec 1999,5.0,140.0
2,Barwon South West,Colac-Otway,Dec 2001,8.0,183.0
4,Barwon South West,Colac-Otway,Dec 2003,5.0,165.0
5,Barwon South West,Colac-Otway,Dec 2004,6.0,175.0
6,Barwon South West,Colac-Otway,Dec 2005,5.0,200.0
7,Barwon South West,Colac-Otway,Dec 2006,8.0,180.0
8,Barwon South West,Colac-Otway,Dec 2007,7.0,170.0
9,Barwon South West,Colac-Otway,Dec 2008,10.0,255.0
10,Barwon South West,Colac-Otway,Dec 2009,5.0,250.0
11,Barwon South West,Colac-Otway,Dec 2010,6.0,260.0
12,Barwon South West,Colac-Otway,Dec 2011,15.0,270.0
13,Barwon South West,Colac-Otway,Dec 2012,13.0,280.0
14,Barwon South West,Colac-Otway,Dec 2013,6.0,360.0
15,Barwon South West,Colac-Otway,Dec 2014,15.0,350.0
16,Barwon South West,Colac-Otway,Dec 2015,15.0,350.0
17,Barwon South West,Colac-Otway,Dec 2016,9.0,360.0
18,Barwon South West,Colac-Otway,Dec 2017,22.0,360.0
19,Barwon South West,Colac-Otway,Dec 2018,14.0,400.0
20,Barwon South West,Colac-Otway,Dec 2019,15.0,400.0
21,Barwon South West,Colac-Otway,Dec 2020,14.0,393.0
25,Barwon South West,Colac-Otway,Jun 2002,5.0,180.0
26,Barwon South West,Colac-Otway,Jun 2003,7.0,190.0
29,Barwon South West,Colac-Otway,Jun 2006,12.0,200.0
30,Barwon South West,Colac-Otway,Jun 2007,8.0,233.0
31,Barwon South West,Colac-Otway,Jun 2008,16.0,273.0
32,Barwon South West,Colac-Otway,Jun 2009,15.0,240.0
33,Barwon South West,Colac-Otway,Jun 2010,9.0,225.0
34,Barwon South West,Colac-Otway,Jun 2011,9.0,300.0
35,Barwon South West,Colac-Otway,Jun 2012,10.0,283.0
36,Barwon South West,Colac-Otway,Jun 2013,11.0,305.0
37,Barwon South West,Colac-Otway,Jun 2014,13.0,320.0
38,Barwon South West,Colac-Otway,Jun 2015,10.0,350.0
39,Barwon South West,Colac-Otway,Jun 2016,16.0,350.0
40,Barwon South West,Colac-Otway,Jun 2017,20.0,355.0
41,Barwon South West,Colac-Otway,Jun 2018,15.0,360.0
42,Barwon South West,Colac-Otway,Jun 2019,13.0,365.0
43,Barwon South West,Colac-Otway,Jun 2020,15.0,400.0
44,Barwon South West,Colac-Otway,Jun 2021,9.0,420.0
46,Barwon South West,Colac-Otway,Mar 2001,6.0,165.0
47,Barwon South West,Colac-Otway,Mar 2002,7.0,190.0
48,Barwon South West,Colac-Otway,Mar 2003,5.0,200.0
49,Barwon South West,Colac-Otway,Mar 2004,7.0,190.0
50,Barwon South West,Colac-Otway,Mar 2005,10.0,205.0
51,Barwon South West,Colac-Otway,Mar 2006,14.0,225.0
52,Barwon South West,Colac-Otway,Mar 2007,11.0,240.0
53,Barwon South West,Colac-Otway,Mar 2008,16.0,253.0
54,Barwon South West,Colac-Otway,Mar 2009,11.0,260.0
55,Barwon South West,Colac-Otway,Mar 2010,20.0,270.0
56,Barwon South West,Colac-Otway,Mar 2011,9.0,300.0
57,Barwon South West,Colac-Otway,Mar 2012,15.0,280.0
58,Barwon South West,Colac-Otway,Mar 2013,13.0,300.0
59,Barwon South West,Colac-Otway,Mar 2014,19.0,320.0
60,Barwon South West,Colac-Otway,Mar 2015,14.0,290.0
61,Barwon South West,Colac-Otway,Mar 2016,17.0,350.0
62,Barwon South West,Colac-Otway,Mar 2017,17.0,350.0
63,Barwon South West,Colac-Otway,Mar 2018,9.0,370.0
64,Barwon South West,Colac-Otway,Mar 2019,18.0,380.0
65,Barwon South West,Colac-Otway,Mar 2020,13.0,420.0
66,Barwon South West,Colac-Otway,Mar 2021,9.0,390.0
68,Barwon South West,Colac-Otway,Sep 2000,5.0,125.0
69,Barwon South West,Colac-Otway,Sep 2001,7.0,150.0
70,Barwon South West,Colac-Otway,Sep 2002,9.0,150.0
71,Barwon South West,Colac-Otway,Sep 2003,6.0,205.0
73,Barwon South West,Colac-Otway,Sep 2005,11.0,200.0
74,Barwon South West,Colac-Otway,Sep 2006,7.0,200.0
75,Barwon South West,Colac-Otway,Sep 2007,8.0,245.0
76,Barwon South West,Colac-Otway,Sep 2008,13.0,250.0
77,Barwon South West,Colac-Otway,Sep 2009,6.0,280.0
78,Barwon South West,Colac-Otway,Sep 2010,11.0,260.0
79,Barwon South West,Colac-Otway,Sep 2011,5.0,300.0
80,Barwon South West,Colac-Otway,Sep 2012,13.0,300.0
81,Barwon South West,Colac-Otway,Sep 2013,12.0,285.0
82,Barwon South West,Colac-Otway,Sep 2014,20.0,290.0
83,Barwon South West,Colac-Otway,Sep 2015,14.0,338.0
84,Barwon South West,Colac-Otway,Sep 2016,15.0,290.0
85,Barwon South West,Colac-Otway,Sep 2017,14.0,370.0
86,Barwon South West,Colac-Otway,Sep 2018,21.0,350.0
87,Barwon South West,Colac-Otway,Sep 2019,20.0,368.0
88,Barwon South West,Colac-Otway,Sep 2020,14.0,350.0
891,Grampians,Ararat,Dec 2000,6.0,108.0
897,Grampians,Ararat,Dec 2006,5.0,190.0
900,Grampians,Ararat,Dec 2009,8.0,223.0
902,Grampians,Ararat,Dec 2011,8.0,250.0
903,Grampians,Ararat,Dec 2012,8.0,315.0
904,Grampians,Ararat,Dec 2013,7.0,300.0
905,Grampians,Ararat,Dec 2014,8.0,280.0
906,Grampians,Ararat,Dec 2015,14.0,293.0
907,Grampians,Ararat,Dec 2016,5.0,300.0
908,Grampians,Ararat,Dec 2017,13.0,275.0
909,Grampians,Ararat,Dec 2018,11.0,295.0
910,Grampians,Ararat,Dec 2019,20.0,350.0
911,Grampians,Ararat,Dec 2020,15.0,370.0
913,Grampians,Ararat,Jun 2000,5.0,120.0
916,Grampians,Ararat,Jun 2003,6.0,165.0
918,Grampians,Ararat,Jun 2005,6.0,165.0
921,Grampians,Ararat,Jun 2008,7.0,220.0
922,Grampians,Ararat,Jun 2009,5.0,180.0
923,Grampians,Ararat,Jun 2010,8.0,250.0
924,Grampians,Ararat,Jun 2011,6.0,260.0
925,Grampians,Ararat,Jun 2012,7.0,280.0
926,Grampians,Ararat,Jun 2013,9.0,300.0
927,Grampians,Ararat,Jun 2014,14.0,300.0
928,Grampians,Ararat,Jun 2015,9.0,300.0
929,Grampians,Ararat,Jun 2016,12.0,370.0
930,Grampians,Ararat,Jun 2017,10.0,325.0
931,Grampians,Ararat,Jun 2018,12.0,380.0
932,Grampians,Ararat,Jun 2019,7.0,280.0
933,Grampians,Ararat,Jun 2020,9.0,350.0
934,Grampians,Ararat,Jun 2021,7.0,380.0
936,Grampians,Ararat,Mar 2001,5.0,135.0
941,Grampians,Ararat,Mar 2006,5.0,225.0
942,Grampians,Ararat,Mar 2007,7.0,180.0
944,Grampians,Ararat,Mar 2009,6.0,178.0
945,Grampians,Ararat,Mar 2010,6.0,240.0
946,Grampians,Ararat,Mar 2011,8.0,290.0
947,Grampians,Ararat,Mar 2012,14.0,275.0
948,Grampians,Ararat,Mar 2013,16.0,350.0
949,Grampians,Ararat,Mar 2014,14.0,290.0
950,Grampians,Ararat,Mar 2015,13.0,280.0
951,Grampians,Ararat,Mar 2016,10.0,310.0
952,Grampians,Ararat,Mar 2017,13.0,300.0
953,Grampians,Ararat,Mar 2018,12.0,330.0
954,Grampians,Ararat,Mar 2019,16.0,410.0
955,Grampians,Ararat,Mar 2020,10.0,345.0
