,Region,LGA,Quater,Count,Median
0,Barwon South West,Colac-Otway,Dec 1999,40.0,120.0
1,Barwon South West,Colac-Otway,Dec 2000,32.0,130.0
2,Barwon South West,Colac-Otway,Dec 2001,36.0,133.0
3,Barwon South West,Colac-Otway,Dec 2002,48.0,160.0
4,Barwon South West,Colac-Otway,Dec 2003,60.0,173.0
5,Barwon South West,Colac-Otway,Dec 2004,52.0,180.0
6,Barwon South West,Colac-Otway,Dec 2005,47.0,180.0
7,Barwon South West,Colac-Otway,Dec 2006,44.0,185.0
8,Barwon South West,Colac-Otway,Dec 2007,44.0,200.0
9,Barwon South West,Colac-Otway,Dec 2008,53.0,220.0
10,Barwon South West,Colac-Otway,Dec 2009,60.0,220.0
11,Barwon South West,Colac-Otway,Dec 2010,51.0,225.0
12,Barwon South West,Colac-Otway,Dec 2011,66.0,250.0
13,Barwon South West,Colac-Otway,Dec 2012,58.0,255.0
14,Barwon South West,Colac-Otway,Dec 2013,89.0,270.0
15,Barwon South West,Colac-Otway,Dec 2014,63.0,270.0
16,Barwon South West,Colac-Otway,Dec 2015,71.0,280.0
17,Barwon South West,Colac-Otway,Dec 2016,71.0,280.0
18,Barwon South West,Colac-Otway,Dec 2017,58.0,300.0
19,Barwon South West,Colac-Otway,Dec 2018,47.0,310.0
20,Barwon South West,Colac-Otway,Dec 2019,63.0,320.0
21,Barwon South West,Colac-Otway,Dec 2020,45.0,345.0
22,Barwon South West,Colac-Otway,Jun 1999,52.0,120.0
23,Barwon South West,Colac-Otway,Jun 2000,44.0,130.0
24,Barwon South West,Colac-Otway,Jun 2001,40.0,130.0
25,Barwon South West,Colac-Otway,Jun 2002,49.0,150.0
26,Barwon South West,Colac-Otway,Jun 2003,50.0,170.0
27,Barwon South West,Colac-Otway,Jun 2004,45.0,170.0
28,Barwon South West,Colac-Otway,Jun 2005,64.0,178.0
29,Barwon South West,Colac-Otway,Jun 2006,58.0,188.0
30,Barwon South West,Colac-Otway,Jun 2007,46.0,183.0
31,Barwon South West,Colac-Otway,Jun 2008,59.0,200.0
32,Barwon South West,Colac-Otway,Jun 2009,51.0,220.0
33,Barwon South West,Colac-Otway,Jun 2010,74.0,220.0
34,Barwon South West,Colac-Otway,Jun 2011,68.0,240.0
35,Barwon South West,Colac-Otway,Jun 2012,57.0,270.0
36,Barwon South West,Colac-Otway,Jun 2013,53.0,260.0
37,Barwon South West,Colac-Otway,Jun 2014,61.0,265.0
38,Barwon South West,Colac-Otway,Jun 2015,65.0,270.0
39,Barwon South West,Colac-Otway,Jun 2016,74.0,280.0
40,Barwon South West,Colac-Otway,Jun 2017,75.0,280.0
41,Barwon South West,Colac-Otway,Jun 2018,54.0,310.0
42,Barwon South West,Colac-Otway,Jun 2019,63.0,335.0
43,Barwon South West,Colac-Otway,Jun 2020,39.0,340.0
44,Barwon South West,Colac-Otway,Jun 2021,44.0,355.0
45,Barwon South West,Colac-Otway,Mar 2000,52.0,123.0
46,Barwon South West,Colac-Otway,Mar 2001,47.0,130.0
47,Barwon South West,Colac-Otway,Mar 2002,43.0,150.0
48,Barwon South West,Colac-Otway,Mar 2003,60.0,170.0
49,Barwon South West,Colac-Otway,Mar 2004,49.0,180.0
50,Barwon South West,Colac-Otway,Mar 2005,53.0,175.0
51,Barwon South West,Colac-Otway,Mar 2006,48.0,190.0
52,Barwon South West,Colac-Otway,Mar 2007,45.0,185.0
53,Barwon South West,Colac-Otway,Mar 2008,65.0,200.0
54,Barwon South West,Colac-Otway,Mar 2009,61.0,200.0
55,Barwon South West,Colac-Otway,Mar 2010,54.0,230.0
56,Barwon South West,Colac-Otway,Mar 2011,64.0,240.0
57,Barwon South West,Colac-Otway,Mar 2012,61.0,235.0
58,Barwon South West,Colac-Otway,Mar 2013,70.0,250.0
59,Barwon South West,Colac-Otway,Mar 2014,71.0,260.0
60,Barwon South West,Colac-Otway,Mar 2015,72.0,260.0
61,Barwon South West,Colac-Otway,Mar 2016,81.0,280.0
62,Barwon South West,Colac-Otway,Mar 2017,63.0,285.0
63,Barwon South West,Colac-Otway,Mar 2018,76.0,290.0
64,Barwon South West,Colac-Otway,Mar 2019,56.0,320.0
65,Barwon South West,Colac-Otway,Mar 2020,70.0,325.0
66,Barwon South West,Colac-Otway,Mar 2021,45.0,350.0
67,Barwon South West,Colac-Otway,Sep 1999,42.0,123.0
68,Barwon South West,Colac-Otway,Sep 2000,59.0,125.0
69,Barwon South West,Colac-Otway,Sep 2001,43.0,135.0
70,Barwon South West,Colac-Otway,Sep 2002,41.0,165.0
71,Barwon South West,Colac-Otway,Sep 2003,46.0,173.0
72,Barwon South West,Colac-Otway,Sep 2004,57.0,175.0
73,Barwon South West,Colac-Otway,Sep 2005,57.0,180.0
74,Barwon South West,Colac-Otway,Sep 2006,47.0,180.0
75,Barwon South West,Colac-Otway,Sep 2007,47.0,185.0
76,Barwon South West,Colac-Otway,Sep 2008,65.0,205.0
77,Barwon South West,Colac-Otway,Sep 2009,71.0,210.0
78,Barwon South West,Colac-Otway,Sep 2010,60.0,230.0
79,Barwon South West,Colac-Otway,Sep 2011,66.0,250.0
80,Barwon South West,Colac-Otway,Sep 2012,65.0,260.0
81,Barwon South West,Colac-Otway,Sep 2013,65.0,265.0
82,Barwon South West,Colac-Otway,Sep 2014,67.0,265.0
83,Barwon South West,Colac-Otway,Sep 2015,62.0,280.0
84,Barwon South West,Colac-Otway,Sep 2016,75.0,280.0
85,Barwon South West,Colac-Otway,Sep 2017,68.0,290.0
86,Barwon South West,Colac-Otway,Sep 2018,65.0,310.0
87,Barwon South West,Colac-Otway,Sep 2019,56.0,318.0
88,Barwon South West,Colac-Otway,Sep 2020,83.0,340.0
890,Grampians,Ararat,Dec 1999,38.0,110.0
891,Grampians,Ararat,Dec 2000,26.0,113.0
892,Grampians,Ararat,Dec 2001,19.0,120.0
893,Grampians,Ararat,Dec 2002,20.0,120.0
894,Grampians,Ararat,Dec 2003,23.0,140.0
895,Grampians,Ararat,Dec 2004,33.0,135.0
896,Grampians,Ararat,Dec 2005,23.0,150.0
897,Grampians,Ararat,Dec 2006,17.0,170.0
